"schoolname","districtname","state_district_id","state_school_id","lat","lon","nces_id"
"REDEEMER BY THE SEA LUTHERAN KINDERGARTEN&PRESCHL","","","",NA,NA,"A1300379"
"REFORMATION LUTHERAN SCHOOL","","","",NA,NA,"00089996"
"RENAISSANCE VILLAGE ACADEMY","","","",NA,NA,"A1300383"
"SACRED HEART PARISH SCHOOL","","","",NA,NA,"00077288"
"SAN DIEGO ACADEMY","","","",NA,NA,"00094452"
"SAN DIEGO CENTER FOR CHILDREN ACADEMY","","","",NA,NA,"BB020509"
"SAN DIEGO FRENCH AMERICAN SCHOOL","","","",NA,NA,"A9100787"
"SAN DIEGO JEWISH ACADEMY","","","",NA,NA,"01900102"
"SAN DIEGO LIBERAL ARTS ACADEMY","","","",NA,NA,"A1500483"
"SANTA FE CHRISTIAN SCHOOLS","","","",NA,NA,"01900113"
"SANTA SOPHIA ACADEMY","","","",NA,NA,"00077437"
"SCHOOL OF THE MADELEINE","","","",NA,NA,"00077404"
"SHEPHERD OF THE HILLS LUTHERAN SCHOOL","","","",NA,NA,"00090549"
"SOILLE SAN DIEGO HEBREW DAY SCHOOL","","","",NA,NA,"00081942"
"SOLANA BEACH PRESBYTERIAN PRESCHOOL","","","",NA,NA,"BB946432"
"ST AUGUSTINE HIGH SCHOOL","","","",NA,NA,"00076954"
"ST CHARLES BORROMEO ACADEMY","","","",NA,NA,"00077368"
"ST CHARLES CATHOLIC SCHOOL","","","",NA,NA,"00077299"
"ST DIDACUS SCHOOL","","","",NA,NA,"00076965"
"ST FRANCIS OF ASSISI CATHOLIC SCHOOL","","","",NA,NA,"00077448"
"ST JAMES LUTHERAN PRESCHOOL & KINDERGARTEN","","","",NA,NA,"K9300431"
"ST JOHN OF THE CROSS SCHOOL","","","",NA,NA,"00077084"
"ST JOSEPH ACADEMY","","","",NA,NA,"A9302786"
"ST KIERAN CATHOLIC SCHOOL","","","",NA,NA,"00077277"
"ST MARTIN OF TOURS ACADEMY","","","",NA,NA,"00076885"
"ST MARY STAR OF THE SEA SCHOOL","","","",NA,NA,"00077095"
"ST MICHAEL ACADEMY","","","",NA,NA,"00076976"
"ST MICHAEL SCHOOL","","","",NA,NA,"00077131"
"ST PATRICK CATHOLIC SCHOOL","","","",NA,NA,"00076998"
"ST PATRICK'S SCHOOL","","","",NA,NA,"00077211"
"ST PAUL'S LUTHERAN SCHOOL","","","",NA,NA,"00082527"
"ST PETER THE APOSTLE CATHOLIC SCHOOL","","","",NA,NA,"02187561"
"ST PIUS X SCHOOL","","","",NA,NA,"00076841"
"ST RITA'S SCHOOL","","","",NA,NA,"00077222"
"ST ROSE OF LIMA SCHOOL","","","",NA,NA,"00077007"
"ST THERESE ACADEMY","","","",NA,NA,"00077379"
"ST VINCENT DE PAUL ELEMENTARY SCHOOL","","","",NA,NA,"00077233"
"STEIN EDUCATION CENTER","","","",NA,NA,"BB946409"
"STELLA MARIS ACADEMY","","","",NA,NA,"00077062"
"TABERNACLE CHRISTIAN ACADEMY","","","",NA,NA,"00091043"
"TAPROOT MONTESSORI PRESCHOOL & KINDERGARTEN","","","",NA,NA,"BB946475"
"TAPROOT MONTESSORI-LA MESA","","","",NA,NA,"K9300451"
"TERI LEARNING ACADEMY","","","",NA,NA,"A0300562"
"THE ARCH ACADEMY","","","",NA,NA,"A0900500"
"THE CAMBRIDGE SCHOOL","","","",NA,NA,"A0900255"
"THE CHILDRENS SCHOOL","","","",NA,NA,"BB911057"
"THE GILLISPIE SCHOOL","","","",NA,NA,"02011564"
"THE GRAUER SCHOOL","","","",NA,NA,"A9302457"
"THE KOONINGS CENTER","","","",NA,NA,"A1500552"
"THE NATIVITY SCHOOL","","","",NA,NA,"A9700550"
"THE ROCK ACADEMY","","","",NA,NA,"A0500598"
"THE WALDORF SCHOOL OF SAN DIEGO","","","",NA,NA,"A9101468"
"TORAH HIGH SCHOOL OF SAN DIEGO","","","",NA,NA,"A0101333"
"TRI-CITY CHRISTIAN SCHOOLS","","","",NA,NA,"00091236"
"TRINITY CHRISTIAN SCHOOL","","","",NA,NA,"A9500841"
"URBAN SKILLS CENTER","","","",NA,NA,"A1500565"
"VALLEY CHRISTIAN SCHOOL","","","",NA,NA,"02011972"
"VILLAGE GATE CHILDREN'S ACADEMY","","","",NA,NA,"A1100382"
"VISTA CHRISTIAN SCHOOL","","","",NA,NA,"00091713"
"WARREN-WALKER SCHOOL","","","",NA,NA,"00080075"
"WEE CARE PRESCHOOL","","","",NA,NA,"BB020438"
"WEST COAST BAPTIST SCHOOL","","","",NA,NA,"02012036"
"WINSTON SCHOOL","","","",NA,NA,"A9101489"
"ZION LUTHERAN SCHOOL","","","",NA,NA,"AA001708"
