site,altnames,sponsor,district,is_school,schoolcode,districtcode
HILLTOP DRIVE ELEMENTARY,HILLTOP DRIVE ELEMENTARY,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,TRUE,6037899,68023
HILLTOP MIDDLE,HILLTOP MIDDLE,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,TRUE,6062004,68411
HILLTOP SENIOR HIGH,HILLTOP SENIOR HIGH,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,TRUE,3732849,68411
HOLLY DRIVE LEADERSHIP ACADEMY,HOLLY DRIVE LEADERSHIP ACADEMY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6117279,68338
HOLMES ELEMENTARY,HOLMES ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039747,68338
HOLY TRINITY ELEMENTARY,,HOLY TRINITY SCHOOL,,TRUE,,
HOME & HOSP/TRANSITION SUPPORT,HOME & HOSP/TRANSITION SUPPORT,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,FALSE,126938,68338
HOOVER HIGH,HOOVER HIGH,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,3732997,68338
HOPE ELEMENTARY,HOPE ELEMENTARY,CARLSBAD UNIFIED,CARLSBAD UNIFIED,TRUE,6106512,73551
HORTON ELEMENTARY,HORTON ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039754,68338
HORTON PLAZA-ANNEX,,SAN DIEGO UNIFIED,,FALSE,,
HOWARD GARDNER COMMUNITY CHARTER,HOWARD GARDNER COMMUNITY CHARTER,HOWARD GARDNER COMMUNITY SCHOOL,CHULA VISTA ELEMENTARY,TRUE,124321,68023
HOWARD PENCE ELEMENTARY,HOWARD PENCE ELEMENTARY,SOUTH BAY UNION,SOUTH BAY UNION,TRUE,6094973,68395
IBARRA ELEMENTARY,IBARRA ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,108290,68338
IDEA CENTER,IDEA CENTER,,GROSSMONT UNION HIGH,TRUE,132548,68130
IFTIN CHARTER,IFTIN CHARTER,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,108548,68338
IFTIN UNIVERSITY PREP HIGH,,SAN DIEGO UNIFIED,,TRUE,,
IHIGH VIRTUAL ACADEMY,IHIGH VIRTUAL ACADEMY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,120410,68338
IMPERIAL BEACH CHARTER,IMPERIAL BEACH CHARTER,SOUTH BAY UNION,SOUTH BAY UNION,TRUE,6040505,68395
INGENUITY CHARTER,INGENUITY CHARTER,,SAN DIEGO UNIFIED,TRUE,131979,68338
INDIAN HILLS CAMP,,SHILOAH SPRINGS BIBLE RETREAT,,FALSE,,
INNOVATION MIDDLE,INNOVATION MIDDLE,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,116939,68338
INNOVATIONS ACADEMY,"INNOVATIONS ACADEMY, INNOVATIONS ACADEMY OF EMPOWERMENT",SAN DIEGO COUNTY OFFICE OF EDUCATION,SAN DIEGO UNIFIED,TRUE,118083,68338
INSIGHT @ SAN DIEGO,INSIGHT @ SAN DIEGO,,SPENCER VALLEY ELEMENTARY,TRUE,125401,68403
INSPIRE CHARTER SCHOOL - SOUTH,INSPIRE CHARTER SCHOOL - SOUTH,,DEHESA ELEMENTARY,TRUE,132506,68049
INTEGRITY CHARTER,INTEGRITY CHARTER,INTEGRITY CHARTER SCHOOL,NATIONAL ELEMENTARY,TRUE,101360,68221
INTEGRITY CHARTER SCHOOL-B&G CLUB,,INTEGRITY CHARTER SCHOOL,,FALSE,,
IOWA STREET,IOWA STREET,,FALLBROOK UNION ELEMENTARY,TRUE,6096911,68114
IRA HARBISON,IRA HARBISON,NATIONAL ELEMENTARY,NATIONAL ELEMENTARY,TRUE,6038764,68221
IVEY RANCH ELEMENTARY,IVEY RANCH ELEMENTARY,OCEANSIDE UNIFIED,OCEANSIDE UNIFIED,TRUE,6109995,73569
IVY HIGH (CONTINUATION),IVY HIGH (CONTINUATION),FALLBROOK UNION HIGH,FALLBROOK UNION HIGH,TRUE,3732195,68122
JACK & CAROL CLARK ADOLESCENT TREATMENT PROGRAM,,SAN DIEGO CENTER FOR CHILDREN,,FALSE,,
JACUMBA MIDDLE,JACUMBA MIDDLE,MOUNTAIN EMPIRE UNIFIED,MOUNTAIN EMPIRE UNIFIED,TRUE,126995,68213
JAMACHA ELEMENTARY,JAMACHA ELEMENTARY,CAJON VALLEY UNION,CAJON VALLEY UNION,TRUE,6110787,67991
JAMES DUKES ELEMENTARY,JAMES DUKES ELEMENTARY,RAMONA CITY UNIFIED,RAMONA CITY UNIFIED,TRUE,6105555,68304
JAMES E. POTTER INTERMEDIATE,JAMES E. POTTER INTERMEDIATE,FALLBROOK UNION ELEMENTARY,FALLBROOK UNION ELEMENTARY,TRUE,6038277,68114
JAMUL INTERMEDIATE,JAMUL INTERMEDIATE,JAMUL-DULZURA UNION ELEMENTARY,JAMUL-DULZURA UNION ELEMENTARY,TRUE,6112205,68155
JAMUL PRIMARY,JAMUL PRIMARY,JAMUL-DULZURA UNION ELEMENTARY,JAMUL-DULZURA UNION ELEMENTARY,TRUE,6038319,68155
JCS - CEDAR COVE,JCS - CEDAR COVE,,JULIAN UNION ELEMENTARY,TRUE,138628,68163
JCS - MOUNTAIN OAKS,JCS - MOUNTAIN OAKS,,JULIAN UNION ELEMENTARY,TRUE,138156,68163
JCS - PINE VALLEY,JCS - PINE VALLEY,,MOUNTAIN EMPIRE UNIFIED,TRUE,138636,68213
JEFFERSON ELEMENTARY,JEFFERSON ELEMENTARY,CARLSBAD UNIFIED,CARLSBAD UNIFIED,TRUE,6037782,73551
JEFFERSON ELEMENTARY,JEFFERSON ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039770,68338
JEFFERSON MIDDLE,JEFFERSON MIDDLE,OCEANSIDE UNIFIED,OCEANSIDE UNIFIED,TRUE,6038830,73569
JERABEK ELEMENTARY,JERABEK ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6099071,68338
JOAN MACQUEEN MIDDLE,JOAN MACQUEEN MIDDLE,ALPINE UNION ELEMENTARY,ALPINE UNION ELEMENTARY,TRUE,6037535,67967
JOHN A. OTIS ELEMENTARY,JOHN A. OTIS ELEMENTARY,NATIONAL ELEMENTARY,NATIONAL ELEMENTARY,TRUE,6038756,68221
JOHN MUIR,JOHN MUIR,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,3730116,68338
JOHN MUIR LANGUAGE ACADEMY,JOHN MUIR LANGUAGE ACADEMY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,3730116,68338
JOHNSON ELEMENTARY,JOHNSON ELEMENTARY,CAJON VALLEY UNION,CAJON VALLEY UNION,TRUE,6037675,67991
JOHNSON ELEMENTARY,JOHNSON ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039788,68338
JOLI ANN LEICHTAG ELEMENTARY,JOLI ANN LEICHTAG ELEMENTARY,SAN MARCOS UNIFIED,SAN MARCOS UNIFIED,TRUE,116467,73791
JONAS SALK ELEMENTARY,JONAS SALK ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,132316,68338
JONES ELEMENTARY,JONES ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039796,68338
JOYNER ELEMENTARY,JOYNER ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,114041,68338
JUAN BAUTISTA DE ANZA,JUAN BAUTISTA DE ANZA,,BORREGO SPRINGS UNIFIED,TRUE,117887,67983
JUAN BAUTISTA DE ANZA CHARTER,JUAN BAUTISTA DE ANZA CHARTER,,BORREGO SPRINGS UNIFIED,TRUE,136457,67983
JUAREZ ELEMENTARY,JUAREZ ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039804,68338
JUAREZ-LINCOLN ELEMENTARY,JUAREZ-LINCOLN ELEMENTARY,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,TRUE,6069090,68023
JULIAN CHARTER,JULIAN CHARTER,,JULIAN UNION ELEMENTARY,TRUE,3731239,68163
JULIAN ELEMENTARY,JULIAN ELEMENTARY,JULIAN UNION ELEMENTARY,JULIAN UNION ELEMENTARY,TRUE,6038327,68163
JULIAN HIGH,JULIAN HIGH,"JULIAN UNION HIGH, JULIAN ELEMENTARY",JULIAN UNION HIGH,TRUE,3733219,68171
JULIAN JUNIOR HIGH,JULIAN JUNIOR HIGH,JULIAN UNION ELEMENTARY,JULIAN UNION ELEMENTARY,TRUE,6105845,68163
JUNIPER ELEMENTARY,JUNIPER ELEMENTARY,ESCONDIDO UNION,ESCONDIDO UNION,TRUE,6038228,68098
JUNIPER PRESCHOOL,,ESCONDIDO UNION,,TRUE,,
JUVENILE COURT AND COMMUNITY SCHOOL,,ESCONDIDO UNION HIGH,,FALSE,,
JUVENILE HALL,,SAN DIEGO CO PROBATION DEPT,,,,
KAVOD CHARTER,KAVOD CHARTER,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,126730,68338
KAVOD ELEMENTARY CHARTER,KAVOD ELEMENTARY CHARTER,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,126730,68338
KEARNY COLLEGE CONNECTIONS,KEARNY COLLEGE CONNECTIONS,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,107094,68338
KEARNY DIGITAL MEDIA & DESIGN,KEARNY DIGITAL MEDIA & DESIGN,,SAN DIEGO UNIFIED,TRUE,107078,68338
KEARNY ENG INNOV & DESIGN,KEARNY ENG INNOV & DESIGN,,SAN DIEGO UNIFIED,TRUE,107102,68338
"KEARNY ENG, INNOV & DESIGN","KEARNY ENG, INNOV & DESIGN",,SAN DIEGO UNIFIED,TRUE,107102,68338
KEARNY MESA LC- AUDEO-ANNEX,,SAN DIEGO UNIFIED,,FALSE,,
KEARNY INTERNATIONAL BUSINESS,KEARNY INTERNATIONAL BUSINESS,,SAN DIEGO UNIFIED,TRUE,107094,68338
KEARNY SCT,KEARNY SCT,,SAN DIEGO UNIFIED,TRUE,107086,68338
KEILLER LEADERSHIP ACADEMY,KEILLER LEADERSHIP ACADEMY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039812,68338
KELLOGG (KARL H.) ELEMENTARY,KELLOGG (KARL H.) ELEMENTARY,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,TRUE,6037923,68023
KELLY ELEMENTARY,KELLY ELEMENTARY,CARLSBAD UNIFIED,CARLSBAD UNIFIED,TRUE,6099352,73551
KEMPTON STREET ELEMENTARY,KEMPTON STREET ELEMENTARY,,LA MESA-SPRING VALLEY,TRUE,6038467,68197
KEMPTON STREET LITERACY ACADEMY,KEMPTON STREET LITERACY ACADEMY,LA MESA-SPRING VALLEY,LA MESA-SPRING VALLEY,TRUE,6038467,68197
KENNEDY CDC,,SAN DIEGO UNIFIED,,FALSE,,
KIMBALL,KIMBALL,NATIONAL ELEMENTARY,NATIONAL ELEMENTARY,TRUE,6038772,68221
KIMBROUGH ELEMENTARY,KIMBROUGH ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6114292,68338
KING-CHAVEZ ACADEMY OF EXCELLENCE,KING-CHAVEZ ACADEMY OF EXCELLENCE,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6119598,68338
KING-CHAVEZ ARTS ACADEMY,KING-CHAVEZ ARTS ACADEMY,,SAN DIEGO UNIFIED,TRUE,109033,68338
KING-CHAVEZ ATHLETICS ACADEMY,KING-CHAVEZ ATHLETICS ACADEMY,,SAN DIEGO UNIFIED,TRUE,109041,68338
KING-CHAVEZ COMMUNITY HIGH,KING-CHAVEZ COMMUNITY HIGH,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,118851,68338
KING-CHAVEZ PREPARATORY ACADEMY,KING-CHAVEZ PREPARATORY ACADEMY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,111906,68338
KING-CHAVEZ PRIMARY ACADEMY,KING-CHAVEZ PRIMARY ACADEMY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6040190,68338
KIPP ADELANTE PREPARATORY ACADEMY,KIPP ADELANTE PREPARATORY ACADEMY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,101345,68338
KNOB HILL ELEMENTARY,KNOB HILL ELEMENTARY,SAN MARCOS UNIFIED,SAN MARCOS UNIFIED,TRUE,6107148,73791
KNOX MIDDLE,KNOX MIDDLE,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,124115,68338
KUMEYAAY ELEMENTARY,KUMEYAAY ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6112460,68338
L. R. GREEN ELEMENTARY,L. R. GREEN ELEMENTARY,ESCONDIDO UNION,ESCONDIDO UNION,TRUE,6107882,68098
LA COSTA CANYON HIGH,LA COSTA CANYON HIGH,SAN DIEGUITO UNION HIGH,SAN DIEGUITO UNION HIGH,TRUE,3731007,68346
LA COSTA HEIGHTS ELEMENTARY,LA COSTA HEIGHTS ELEMENTARY,ENCINITAS UNION ELEMENTARY,ENCINITAS UNION ELEMENTARY,TRUE,6106132,68080
LA COSTA MEADOWS ELEMENTARY,LA COSTA MEADOWS ELEMENTARY,SAN MARCOS UNIFIED,SAN MARCOS UNIFIED,TRUE,6105993,73791
LA JOLLA ELEMENTARY,LA JOLLA ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039846,68338
LA JOLLA HIGH,LA JOLLA HIGH,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,3733508,68338
LA MESA ARTS ACADEMY,LA MESA ARTS ACADEMY,LA MESA-SPRING VALLEY,LA MESA-SPRING VALLEY,TRUE,132290,68197
LA MESA COMMUNITY SCHOOL,,SAN DIEGO COUNTY OFFICE OF EDUCATION,,TRUE,,
LA MESA COMMUNITY SCHOOLS 123,,GROSSMONT UNION HIGH,,TRUE,,
LA MESA DALE ELEMENTARY,LA MESA DALE ELEMENTARY,LA MESA-SPRING VALLEY,LA MESA-SPRING VALLEY,TRUE,6038475,68197
LA MESA MIDDLE,LA MESA MIDDLE,LA MESA-SPRING VALLEY,LA MESA-SPRING VALLEY,TRUE,6038491,68197
LA MESA-SPRING VALLEY HOME INDEPENDENT STUDY,LA MESA-SPRING VALLEY HOME INDEPENDENT STUDY,,LA MESA-SPRING VALLEY,TRUE,132951,68197
LA MESA-SPRING VALLEY HOME SCHOOL/INDEPENDENT STUDY,LA MESA-SPRING VALLEY HOME SCHOOL/INDEPENDENT STUDY,,LA MESA-SPRING VALLEY,TRUE,132951,68197
LA MIRADA ACADEMY,LA MIRADA ACADEMY,SAN MARCOS UNIFIED,SAN MARCOS UNIFIED,TRUE,6039069,73791
LA MIRADA ELEMENTARY,LA MIRADA ELEMENTARY,SAN YSIDRO ELEMENTARY,SAN YSIDRO ELEMENTARY,TRUE,6089007,68379
LA PALOMA ELEMENTARY,LA PALOMA ELEMENTARY,FALLBROOK UNION ELEMENTARY,FALLBROOK UNION ELEMENTARY,TRUE,6038269,68114
LA PRESA ELEMENTARY,LA PRESA ELEMENTARY,LA MESA-SPRING VALLEY,LA MESA-SPRING VALLEY,TRUE,6038509,68197
LA PRESA MIDDLE,LA PRESA MIDDLE,LA MESA-SPRING VALLEY,LA MESA-SPRING VALLEY,TRUE,6067003,68197
LAFAYETTE ELEMENTARY,LAFAYETTE ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039853,68338
LAKE ELEMENTARY,LAKE ELEMENTARY,VISTA UNIFIED,VISTA UNIFIED,TRUE,6107585,68452
LAKESIDE FARMS ELEMENTARY,LAKESIDE FARMS ELEMENTARY,LAKESIDE UNION ELEMENTARY,LAKESIDE UNION ELEMENTARY,TRUE,6038343,68189
LAKESIDE MIDDLE,LAKESIDE MIDDLE,LAKESIDE UNION ELEMENTARY,LAKESIDE UNION ELEMENTARY,TRUE,6038350,68189
LAKEVIEW ELEMENTARY,LAKEVIEW ELEMENTARY,LAKESIDE UNION ELEMENTARY,LAKESIDE UNION ELEMENTARY,TRUE,6038368,68189
LANGUAGE ACADEMY,LANGUAGE ACADEMY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6040000,68338
LAS PALMAS,LAS PALMAS,NATIONAL ELEMENTARY,NATIONAL ELEMENTARY,TRUE,6038780,68221
LAUDERBACH (J. CALVIN) ELEMENTARY,LAUDERBACH (J. CALVIN) ELEMENTARY,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,TRUE,6037907,68023
LAUREL ELEMENTARY,LAUREL ELEMENTARY,OCEANSIDE UNIFIED,OCEANSIDE UNIFIED,TRUE,6038848,73569
LAUREL PREPARATORY ACADEMY,LAUREL PREPARATORY ACADEMY,,SAN DIEGO UNIFIED,TRUE,128744,68338
LEARNING CHOICE ACADEMY,LEARNING CHOICE ACADEMY,,SAN DIEGO UNIFIED,TRUE,106799,68338
LEARNING CHOICE ACADEMY - CHULA VISTA,LEARNING CHOICE ACADEMY - CHULA VISTA,,CHULA VISTA ELEMENTARY,TRUE,138073,68023
LEARNING LATITUDES CHARTER,LEARNING LATITUDES CHARTER,,DEHESA ELEMENTARY,TRUE,136416,68049
LEE ELEMENTARY,LEE ELEMENTARY,,SAN DIEGO UNIFIED,TRUE,6039861,68338
LEMON AVENUE ELEMENTARY,LEMON AVENUE ELEMENTARY,LA MESA-SPRING VALLEY,LA MESA-SPRING VALLEY,TRUE,6038517,68197
LEMON CREST ELEMENTARY,LEMON CREST ELEMENTARY,LAKESIDE UNION ELEMENTARY,LAKESIDE UNION ELEMENTARY,TRUE,6110092,68189
LEMON GROVE ACADEMY FOR THE SCIENCES AND HUMANITIES,LEMON GROVE ACADEMY FOR THE SCIENCES AND HUMANITIES,LEMON GROVE,LEMON GROVE,TRUE,6038608,68205
LEONARDO DA VINCI HEALTH SCIENCES CHARTER,LEONARDO DA VINCI HEALTH SCIENCES CHARTER,LEONARDO DA VINCI HEALTH SCIENCES CHARTER SCHOOL,CHULA VISTA ELEMENTARY,TRUE,119594,68023
LEONARDO DA VINCI SCIENCES CHARTER SCHOOL,,CHULA VISTA ELEMENTARY,,TRUE,,
LEWIS MIDDLE,LEWIS MIDDLE,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6059638,68338
LEXINGTON ELEMENTARY,LEXINGTON ELEMENTARY,CAJON VALLEY UNION,CAJON VALLEY UNION,TRUE,6037683,67991
LIBBY ELEMENTARY,LIBBY ELEMENTARY,OCEANSIDE UNIFIED,OCEANSIDE UNIFIED,TRUE,6038855,73569
LIBERTY CHARTER HIGH SCHOOL,,GROSSMONT UNION HIGH,,TRUE,,
LIBERTY ELEMENTARY,LIBERTY ELEMENTARY,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,TRUE,105957,68023
LIBERTY HIGH CHARTER SCHOOL-ANNEX,,LEMON GROVE,,TRUE,,
LILAC,LILAC,VALLEY CENTER-PAUMA UNIFIED,VALLEY CENTER-PAUMA UNIFIED,TRUE,100511,75614
LINCOLN ACRES,LINCOLN ACRES,NATIONAL ELEMENTARY,NATIONAL ELEMENTARY,TRUE,6038798,68221
LINCOLN ELEMENTARY,LINCOLN ELEMENTARY,ESCONDIDO UNION,ESCONDIDO UNION,TRUE,6038236,68098
LINCOLN HIGH,LINCOLN HIGH,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,114025,68338
LINCOLN MIDDLE,LINCOLN MIDDLE,OCEANSIDE UNIFIED,OCEANSIDE UNIFIED,TRUE,6038863,73569
LINCOLN PRESCHOOL,,ESCONDIDO UNION,,TRUE,,
LINDA VISTA ELEMENTARY,LINDA VISTA ELEMENTARY,"SAN DIEGO UNIFIED, EMPOWER CHARTER SCHOOL",SAN DIEGO UNIFIED,TRUE,6039879,68338
LINDBERGH/SCHWEITZER ELEMENTARY,LINDBERGH/SCHWEITZER ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039887,68338
LINDO PARK ELEMENTARY,LINDO PARK ELEMENTARY,LAKESIDE UNION ELEMENTARY,LAKESIDE UNION ELEMENTARY,TRUE,6038376,68189
LINDSAY COMMUNITY,,SAN DIEGO COUNTY OFFICE OF EDUCATION,,TRUE,,
LITERACY FIRST CHARTER,"LITERACY FIRST CHARTER, LITT RESOURSES BLENDED",,SAN DIEGO COUNTY OFFICE OF EDUCATION,TRUE,6119119,10371
LITERACY FIRST CHARTER SCHOOL - JA - ANNEX,LITERACY FIRST CHARTER SCHOOL - JA - ANNEX,GROSSMONT UNION HIGH,,TRUE,,
LITERACY FIRST CHARTER SCHOOL - LA - ANNEX,LITERACY FIRST CHARTER SCHOOL - LA - ANNEX,GROSSMONT UNION HIGH,,TRUE,,
LITERACY FIRST CHARTER SCHOOL - PA -ANNEX,LITERACY FIRST CHARTER SCHOOL - PA -ANNEX,GROSSMONT UNION HIGH,,TRUE,,
LITT RESOURSES BLENDED,LITT RESOURSES BLENDED,SAN DIEGO COUNTY OFFICE OF EDUCATION,,TRUE,,
LIVE OAK ELEMENTARY,LIVE OAK ELEMENTARY,FALLBROOK UNION ELEMENTARY,FALLBROOK UNION ELEMENTARY,TRUE,6109524,68114
LOGAN CDC,LOGAN CDC,SAN DIEGO UNIFIED,,FALSE,,
LOGAN K-8,LOGAN K-8,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039895,68338
LOMA ELEMENTARY,LOMA ELEMENTARY,LA MESA-SPRING VALLEY,LA MESA-SPRING VALLEY,TRUE,6098446,68197
LOMA PORTAL CHARTER SCHOOL-ANNEX,LOMA PORTAL CHARTER SCHOOL-ANNEX,SAN DIEGO UNIFIED,,FALSE,,
LOMA PORTAL ELEMENTARY,LOMA PORTAL ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039903,68338
LOMA VERDE ELEMENTARY,LOMA VERDE ELEMENTARY,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,TRUE,6037949,68023
LONGFELLOW K-8,LONGFELLOW K-8,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039911,68338
LOS ALTOS CDC,,SAN DIEGO UNIFIED,,FALSE,,
LOS ALTOS ELEMENTARY,LOS ALTOS ELEMENTARY,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,TRUE,6070825,68023
LOS COCHES CREEK MIDDLE,LOS COCHES CREEK MIDDLE,CAJON VALLEY UNION,CAJON VALLEY UNION,TRUE,111005,67991
LOS PENASQUITOS ELEMENTARY,LOS PENASQUITOS ELEMENTARY,POWAY UNIFIED,POWAY UNIFIED,TRUE,6070841,68296
LOUISE FOUSSAT ELEMENTARY,LOUISE FOUSSAT ELEMENTARY,OCEANSIDE UNIFIED,OCEANSIDE UNIFIED,TRUE,113514,73569
MAAC COMMUNITY CHARTER,MAAC COMMUNITY CHARTER,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,TRUE,3731304,68411
MADISON AVENUE ELEMENTARY,MADISON AVENUE ELEMENTARY,CAJON VALLEY UNION,CAJON VALLEY UNION,TRUE,6037691,67991
MADISON HIGH,MADISON HIGH,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,3733698,68338
MADISON MIDDLE,MADISON MIDDLE,VISTA UNIFIED,VISTA UNIFIED,TRUE,6112221,68452
MAGNOLIA ELEMENTARY,MAGNOLIA ELEMENTARY,CARLSBAD UNIFIED,CAJON VALLEY UNION,TRUE,6037709,67991
MAGNOLIA ELEMENTARY,MAGNOLIA ELEMENTARY,CAJON VALLEY UNION,CARLSBAD UNIFIED,TRUE,6037790,73551
MAGNOLIA SCIENCE ACADEMY SAN DIEGO,MAGNOLIA SCIENCE ACADEMY SAN DIEGO,,SAN DIEGO UNIFIED,TRUE,109157,68338
MAIE ELLIS ELEMENTARY,MAIE ELLIS ELEMENTARY,FALLBROOK UNION ELEMENTARY,FALLBROOK UNION ELEMENTARY,TRUE,131920,68114
MAIN STREET UMOJA BLENDED COMM SCHOOL,,SAN DIEGO COUNTY OFFICE OF EDUCATION,,TRUE,,
MAJOR GENERAL RAYMOND MURRAY HIGH,MAJOR GENERAL RAYMOND MURRAY HIGH,VISTA UNIFIED,VISTA UNIFIED,TRUE,115451,68452
MANN MIDDLE,MANN MIDDLE,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6059646,68338
MAR VISTA ACADEMY,MAR VISTA ACADEMY,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,TRUE,6059786,68411
MAR VISTA ACADEMY FOR PROBLEM BASED LEARNING,MAR VISTA ACADEMY FOR PROBLEM BASED LEARNING,,SWEETWATER UNION HIGH,TRUE,6059786,68411
MAR VISTA SENIOR HIGH,MAR VISTA SENIOR HIGH,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,TRUE,3733953,68411
MARCY ST ANNEX,,SAN DIEGO UNIFIED,,TRUE,,
MARSHALL (THURGOOD) ELEMENTARY,MARSHALL (THURGOOD) ELEMENTARY,,CHULA VISTA ELEMENTARY,TRUE,6116396,68023
MARSHALL ELEMENTARY,MARSHALL ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039952,68338
MARSHALL MIDDLE,MARSHALL MIDDLE,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6115331,68338
MARSTON MIDDLE,MARSTON MIDDLE,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6059653,68338
MARTIN LUTHER KING JR. MIDDLE,MARTIN LUTHER KING JR. MIDDLE,OCEANSIDE UNIFIED,OCEANSIDE UNIFIED,TRUE,6111777,73569
MARVIN ELEMENTARY,MARVIN ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039960,68338
MARY FAY PENDLETON ELEMENTARY,MARY FAY PENDLETON ELEMENTARY,FALLBROOK UNION ELEMENTARY,FALLBROOK UNION ELEMENTARY,TRUE,6038301,68114
MARYLAND AVENUE ELEMENTARY,MARYLAND AVENUE ELEMENTARY,LA MESA-SPRING VALLEY,LA MESA-SPRING VALLEY,TRUE,6038525,68197
MARYLAND ELEMENTARY,MARYLAND ELEMENTARY,VISTA UNIFIED,VISTA UNIFIED,TRUE,111237,68452
MASON ELEMENTARY,MASON ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6071914,68338
MATAGUAY SCOUT RESV,,SAN DIEGO IMPERIAL COUNCIL BSA,,FALSE,,
MCGILL SCHOOL OF SUCCESS,MCGILL SCHOOL OF SUCCESS,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6113211,68338
MCKINLEY ELEMENTARY,MCKINLEY ELEMENTARY,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,6039978,68338
MCMILLIN (CORKY) ELEMENTARY,MCMILLIN (CORKY) ELEMENTARY,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,TRUE,6118988,68023
MEADOWBROOK MIDDLE,MEADOWBROOK MIDDLE,POWAY UNIFIED,POWAY UNIFIED,TRUE,6038988,68296
MEMORIAL SCHOLARS & ATHLETES,MEMORIAL SCHOLARS & ATHLETES,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,TRUE,117333,68338
