siteid,academicyear,schoolname,districtname,schooltype,nslpstatus,ischarterschool,charterschoolnumber,charterfundingtype,isirc,lowgrade,highgrade,enrollment_k-12,freemealcount_k-12,frpmcount_k-12,enrollment_5-17,freemealcount_5-17,frpmcount_5-17,iscalpadscertified,schooltypegroup,districttype,educationaloptiontype,districtcode,schoolcode
2393,2016-2017,MILLER ELEMENTARY,SAN DIEGO UNIFIED,Elementary Schools (Public),,,,,FALSE,K,5,735,211,442,714,205,428,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,6093256
3645,2016-2017,SKYLINE ELEMENTARY,SOLANA BEACH ELEMENTARY,Elementary Schools (Public),,,,,FALSE,K,6,516,68,80,516,68,80,TRUE,Elementary School,Elementary School District,TRADITIONAL,68387,6040455
1933,2014-2015,KNOX MIDDLE,SAN DIEGO UNIFIED,Intermediate/Middle Schools (Public),Provision 2,FALSE,,,FALSE,6,8,580,473,520,580,473,520,TRUE,Middle School,Unified School District,TRADITIONAL,68338,124115
1089,2014-2015,EMERSON/BANDINI ELEMENTARY,SAN DIEGO UNIFIED,Elementary Schools (Public),Provision 2,FALSE,,,FALSE,K,6,586,521,560,572,509,547,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,6039507
265,2014-2015,BELL MIDDLE,SAN DIEGO UNIFIED,Intermediate/Middle Schools (Public),Provision 2,FALSE,,,FALSE,6,8,912,565,734,912,565,734,TRUE,Middle School,Unified School District,TRADITIONAL,68338,6059588
2781,2014-2015,"NONPUBLIC, NONSECTARIAN SCHOOLS",SANTEE,,,,,,,,,6,0,0,6,0,0,TRUE,,Elementary School District,,68361,1
657,2014-2015,CHULA VISTA MIDDLE,SWEETWATER UNION HIGH,Intermediate/Middle Schools (Public),,FALSE,,,FALSE,7,8,876,573,708,876,573,708,TRUE,Middle School,High School District,TRADITIONAL,68411,6059760
401,2014-2015,CALAVERA HILLS ELEMENTARY,CARLSBAD UNIFIED,Elementary Schools (Public),,FALSE,,,FALSE,K,5,476,166,209,476,166,209,TRUE,Elementary School,Unified School District,TRADITIONAL,73551,6120711
3201,2015-2016,R. ROGER ROWE MIDDLE,RANCHO SANTA FE ELEMENTARY,Intermediate/Middle Schools (Public),None,FALSE,,,FALSE,6,8,248,1,1,248,1,1,TRUE,Middle School,Elementary School District,TRADITIONAL,68312,6070908
2401,2015-2016,MIRA MESA HIGH,SAN DIEGO UNIFIED,High Schools (Public),None,FALSE,,,FALSE,9,12,2426,812,1095,2340,773,1044,TRUE,High School,Unified School District,TRADITIONAL,68338,3730181
1425,2015-2016,HARDY ELEMENTARY,SAN DIEGO UNIFIED,Elementary Schools (Public),None,FALSE,,,FALSE,K,5,399,167,218,386,164,213,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,6039713
2321,2015-2016,MASON ELEMENTARY,SAN DIEGO UNIFIED,Elementary Schools (Public),None,FALSE,,,FALSE,K,5,604,234,360,589,229,353,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,6071914
3649,2015-2016,SMYTHE ELEMENTARY,SAN YSIDRO ELEMENTARY,Elementary Schools (Public),Provision 2,FALSE,,,FALSE,K,3,660,656,656,629,625,625,TRUE,Elementary School,Elementary School District,TRADITIONAL,68379,6085146
1409,2015-2016,HANNALEI ELEMENTARY,VISTA UNIFIED,Elementary Schools (Public),None,FALSE,,,FALSE,K,5,647,437,514,647,437,514,TRUE,Elementary School,Unified School District,TRADITIONAL,68452,100933
165,2014-2015,AVOCADO ELEMENTARY,CAJON VALLEY UNION,Elementary Schools (Public),,FALSE,,,FALSE,K,5,561,258,297,549,254,292,TRUE,Elementary School,Elementary School District,TRADITIONAL,67991,6069082
3637,2014-2015,SILVER STRAND ELEMENTARY,CORONADO UNIFIED,Elementary Schools (Public),,FALSE,,,FALSE,K,5,321,18,56,316,17,54,TRUE,Elementary School,Unified School District,TRADITIONAL,68031,6038087
3545,2014-2015,SANTA MARGARITA ACADEMY,FALLBROOK UNION ELEMENTARY,District Community Day Schools,,FALSE,,,FALSE,4,8,4,3,3,4,3,3,TRUE,Other,Elementary School District,COMMUNITY DAY SCHOOL,68114,115519
1981,2014-2015,LA MESA MIDDLE,LA MESA-SPRING VALLEY,Intermediate/Middle Schools (Public),,FALSE,,,FALSE,7,8,950,331,460,950,331,460,TRUE,Middle School,Elementary School District,TRADITIONAL,68197,6038491
3169,2014-2015,POWAY HIGH,POWAY UNIFIED,High Schools (Public),,FALSE,,,FALSE,9,12,2252,334,458,2189,323,445,TRUE,High School,Unified School District,TRADITIONAL,68296,3735867
1909,2014-2015,KING-CHAVEZ ATHLETICS ACADEMY,SAN DIEGO UNIFIED,Elementary Schools (Public),,TRUE,706,DIRECTLY FUNDED,FALSE,3,5,185,170,178,185,170,178,TRUE,Elementary School,Unified School District,TRADITIONAL,68338,109041
4077,2014-2015,VETERANS ELEMENTARY,CHULA VISTA ELEMENTARY,Elementary Schools (Public),,FALSE,,,FALSE,K,6,890,127,190,890,127,190,TRUE,Elementary School,Elementary School District,TRADITIONAL,68023,108662
133,2014-2015,ASHLEY FALLS ELEMENTARY,DEL MAR UNION ELEMENTARY,Elementary Schools (Public),,FALSE,,,FALSE,K,6,418,10,16,409,10,15,TRUE,Elementary School,Elementary School District,TRADITIONAL,68056,6115620
4017,2014-2015,VALHALLA HIGH,GROSSMONT UNION HIGH,High Schools (Public),,FALSE,,,FALSE,9,12,2129,562,921,2047,548,886,TRUE,High School,High School District,TRADITIONAL,68130,3730066
2461,2014-2015,MONTEREY HEIGHTS ELEMENTARY,LEMON GROVE,Elementary Schools (Public),Breakfast Provision 2,FALSE,,,FALSE,P,6,464,269,349,448,263,338,TRUE,Elementary School,Elementary School District,TRADITIONAL,68205,6038624
3793,2014-2015,SUNDANCE ELEMENTARY,POWAY UNIFIED,Elementary Schools (Public),,FALSE,,,FALSE,K,5,548,69,106,538,68,105,TRUE,Elementary School,Unified School District,TRADITIONAL,68296,6099444
4173,2014-2015,WARNER JUNIOR/SENIOR HIGH,WARNER UNIFIED,High Schools (Public),,FALSE,,,FALSE,7,12,100,76,80,96,72,76,TRUE,High School,Unified School District,TRADITIONAL,75416,3730975
