"ProgramCode","ProgramGroupYear","CountyDesc","ClaimDate","Name","SiteName","MealGroupCode","MealTypeCode","DaysServedQty","MlsServedFree"
"SFSP",2018,"SAN DIEGO","2018-07-01","FEEDING AMERICA SAN DIEGO","BORREGO SPRINGS BRANCH LIBRARY","SFSP_LUNCH","SFSP_LUNCH_SELFPREP",21,404
"SFSP",2018,"SAN DIEGO","2018-07-01","FEEDING AMERICA SAN DIEGO","BOYS AND GIRLS CLUB SAN MARCOS","SFSP_SNACK_PM","SFSP_SNACK_PM_VENDED",21,5815
"SFSP",2018,"SAN DIEGO","2018-07-01","FEEDING AMERICA SAN DIEGO","CASA DE SALUD YOUTH CENTER","SFSP_LUNCH","SFSP_LUNCH_VENDED",21,155
"SFSP",2018,"SAN DIEGO","2018-07-01","FEEDING AMERICA SAN DIEGO","CASA DE SALUD YOUTH CENTER","SFSP_SNACK_PM","SFSP_SNACK_PM_VENDED",21,154
"SFSP",2018,"SAN DIEGO","2018-07-01","FEEDING AMERICA SAN DIEGO","IIPAY NATION OF SANTA YSABEL","SFSP_LUNCH","SFSP_LUNCH_SELFPREP",21,309
"SFSP",2018,"SAN DIEGO","2018-07-01","FEEDING AMERICA SAN DIEGO","JACUMBA BRANCH LIBRARY","SFSP_LUNCH","SFSP_LUNCH_SELFPREP",21,208
"SFSP",2018,"SAN DIEGO","2018-07-01","FEEDING AMERICA SAN DIEGO","JACUMBA BRANCH LIBRARY","SFSP_SNACK_PM","SFSP_SNACK_PM_SELFPREP",21,143
"SFSP",2018,"SAN DIEGO","2018-07-01","FEEDING AMERICA SAN DIEGO","JULIAN BRANCH LIBRARY","SFSP_LUNCH","SFSP_LUNCH_SELFPREP",21,346
"SFSP",2018,"SAN DIEGO","2018-07-01","FEEDING AMERICA SAN DIEGO","JULIAN ELEMENTARY","SFSP_BREAKFAST","SFSP_BREAKFAST_SELFPREP",8,119
"SFSP",2018,"SAN DIEGO","2018-07-01","FEEDING AMERICA SAN DIEGO","LINCOLN ACRES BRANCH LIBRARY","SFSP_LUNCH","SFSP_LUNCH_VENDED",21,224
"SFSP",2018,"SAN DIEGO","2018-07-01","FEEDING AMERICA SAN DIEGO","MESA GRANDE INDIAN HOUSING AUTHORITY","SFSP_LUNCH","SFSP_LUNCH_SELFPREP",21,196
"SFSP",2018,"SAN DIEGO","2018-07-01","FEEDING AMERICA SAN DIEGO","MISSION COVE APARTMENTS","SFSP_LUNCH","SFSP_LUNCH_VENDED",21,294
"SFSP",2018,"SAN DIEGO","2018-07-01","FEEDING AMERICA SAN DIEGO","NORTH COUNTY HEALTH SERVICES SAN MARCOS","SFSP_LUNCH","SFSP_LUNCH_VENDED",21,288
"SFSP",2018,"SAN DIEGO","2018-07-01","FEEDING AMERICA SAN DIEGO","OCEAN DISCOVERY HOOVER HIGH","SFSP_LUNCH","SFSP_LUNCH_VENDED",21,75
"SFSP",2018,"SAN DIEGO","2018-07-01","FEEDING AMERICA SAN DIEGO","OCEAN DISCOVERY HOOVER HIGH","SFSP_SNACK_AM","SFSP_SNACK_AM_VENDED",4,75
"SFSP",2018,"SAN DIEGO","2018-07-01","FEEDING AMERICA SAN DIEGO","PALOMAR FAMILY YMCA","SFSP_BREAKFAST","SFSP_BREAKFAST_VENDED",8,360
"SFSP",2018,"SAN DIEGO","2018-07-01","FEEDING AMERICA SAN DIEGO","PALOMAR FAMILY YMCA","SFSP_LUNCH","SFSP_LUNCH_VENDED",21,709
"SFSP",2018,"SAN DIEGO","2018-07-01","FEEDING AMERICA SAN DIEGO","RAMONA BRANCH LIBRARY","SFSP_LUNCH","SFSP_LUNCH_VENDED",21,754
"SFSP",2018,"SAN DIEGO","2018-07-01","FEEDING AMERICA SAN DIEGO","VALLEY CENTER BRANCH LIBRARY","SFSP_LUNCH","SFSP_LUNCH_SELFPREP",21,670
"SFSP",2018,"SAN DIEGO","2018-07-01","FEEDING AMERICA SAN DIEGO","VCC PROJECT REACH LIBBY LAKE","SFSP_LUNCH","SFSP_LUNCH_VENDED",21,380
"SFSP",2018,"SAN DIEGO","2018-07-01","FEEDING AMERICA SAN DIEGO","VISTA BRANCH LIBRARY","SFSP_LUNCH","SFSP_LUNCH_VENDED",21,2525
"SFSP",2018,"SAN DIEGO","2018-07-01","HEAVEN'S WINDOWS","ATMOSPHERE APARTMENTS","SFSP_LUNCH","SFSP_LUNCH_VENDED",21,18
