sitename1,sitename2,sitename3,sponsorname1,sponsorname2,sponsorname3
LA PALOMA ELEMENTARY,,,FALLBROOK UNION ELEMENTARY,FALLBROOK UNION ELEMENTARY,
LA PRESA ELEMENTARY,,,LA MESA-SPRING VALLEY,LA MESA-SPRING VALLEY,
LA PRESA MIDDLE,,,LA MESA-SPRING VALLEY,LA MESA-SPRING VALLEY,
LAFAYETTE ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
LAKE ELEMENTARY,,,VISTA UNIFIED,VISTA UNIFIED,
LAKESIDE FARMS ELEMENTARY,,,LAKESIDE UNION ELEMENTARY,LAKESIDE UNION ELEMENTARY,
LAKESIDE MIDDLE,,,LAKESIDE UNION ELEMENTARY,LAKESIDE UNION ELEMENTARY,
LAKEVIEW ELEMENTARY,,,LAKESIDE UNION ELEMENTARY,LAKESIDE UNION ELEMENTARY,
LANGUAGE ACADEMY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
LAS PALMAS,,,NATIONAL ELEMENTARY,NATIONAL ELEMENTARY,
LAUDERBACH (J. CALVIN) ELEMENTARY,,,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,
LAUREL ELEMENTARY,,,OCEANSIDE UNIFIED,OCEANSIDE UNIFIED,
LAUREL PREPARATORY ACADEMY,,,SAN DIEGO UNIFIED,,
LEARNING CHOICE ACADEMY,,,SAN DIEGO UNIFIED,,
LEE ELEMENTARY,,,SAN DIEGO UNIFIED,,
LEMON AVENUE ELEMENTARY,,,LA MESA-SPRING VALLEY,LA MESA-SPRING VALLEY,
LEMON CREST ELEMENTARY,,,LAKESIDE UNION ELEMENTARY,LAKESIDE UNION ELEMENTARY,
LEMON GROVE ACADEMY FOR THE SCIENCES AND HUMANITIES,,,LEMON GROVE,LEMON GROVE,
LEONARDO DA VINCI HEALTH SCIENCES CHARTER,LEONARDO DA VINCI SCIENCES CHARTER SCHOOL,,CHULA VISTA ELEMENTARY,LEONARDO DA VINCI HEALTH SCIENCES CHARTER SCHOOL,
LEWIS MIDDLE,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
LEXINGTON ELEMENTARY,,,CAJON VALLEY UNION,CAJON VALLEY UNION,
LIBBY ELEMENTARY,,,OCEANSIDE UNIFIED,OCEANSIDE UNIFIED,
LIBERTY CHARTER HIGH SCHOOL,,,,GROSSMONT UNION HIGH,
LIBERTY ELEMENTARY,,,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,
LIBERTY HIGH CHARTER SCHOOL-ANNEX,,,,LEMON GROVE,
LILAC,,,VALLEY CENTER-PAUMA UNIFIED,VALLEY CENTER-PAUMA UNIFIED,
LINCOLN ACRES,,,NATIONAL ELEMENTARY,NATIONAL ELEMENTARY,
LINCOLN ELEMENTARY,,,ESCONDIDO UNION,ESCONDIDO UNION,
LINCOLN HIGH,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
LINCOLN MIDDLE,,,OCEANSIDE UNIFIED,OCEANSIDE UNIFIED,
LINCOLN PRESCHOOL,,,,ESCONDIDO UNION,
LINDA VISTA ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
LINDA VISTA ELEMENTARY,,,,EMPOWER CHARTER SCHOOL,
LINDBERGH/SCHWEITZER ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
LINDO PARK ELEMENTARY,,,LAKESIDE UNION ELEMENTARY,LAKESIDE UNION ELEMENTARY,
LINDSAY COMMUNITY,,,,SAN DIEGO COUNTY OFFICE OF EDUCATION,
LITERACY FIRST CHARTER,LITERACY FIRST CHARTER SCHOOL - JA - ANNEX,,SAN DIEGO COUNTY OFFICE OF EDUCATION,GROSSMONT UNION HIGH,
LITERACY FIRST CHARTER SCHOOL - LA - ANNEX,,,,GROSSMONT UNION HIGH,
LITERACY FIRST CHARTER SCHOOL - PA -ANNEX,,,,GROSSMONT UNION HIGH,
LITT RESOURSES BLENDED,,,,SAN DIEGO COUNTY OFFICE OF EDUCATION,
LIVE OAK ELEMENTARY,,,FALLBROOK UNION ELEMENTARY,FALLBROOK UNION ELEMENTARY,
LOGAN CDC,,,,SAN DIEGO UNIFIED,
LOGAN K-8,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
LOMA ELEMENTARY,,,LA MESA-SPRING VALLEY,LA MESA-SPRING VALLEY,
LOMA PORTAL CHARTER SCHOOL-ANNEX,,,,SAN DIEGO UNIFIED,
LOMA PORTAL ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
LOMA VERDE ELEMENTARY,,,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,
LONGFELLOW K-8,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
LOS ALTOS CDC,,,,SAN DIEGO UNIFIED,
LOS ALTOS ELEMENTARY,,,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,
LOS COCHES CREEK MIDDLE,,,CAJON VALLEY UNION,CAJON VALLEY UNION,
LOS PENASQUITOS ELEMENTARY,,,POWAY UNIFIED,POWAY UNIFIED,
LOUISE FOUSSAT ELEMENTARY,,,OCEANSIDE UNIFIED,OCEANSIDE UNIFIED,
MAAC COMMUNITY CHARTER,,,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,
MADISON AVENUE ELEMENTARY,,,CAJON VALLEY UNION,CAJON VALLEY UNION,
MADISON HIGH,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
MADISON MIDDLE,,,VISTA UNIFIED,VISTA UNIFIED,
MAGNOLIA ELEMENTARY,,,CAJON VALLEY UNION,CAJON VALLEY UNION,
MAGNOLIA ELEMENTARY,,,CARLSBAD UNIFIED,CARLSBAD UNIFIED,
MAGNOLIA SCIENCE ACADEMY SAN DIEGO,,,SAN DIEGO UNIFIED,,
MAIE ELLIS ELEMENTARY,,,FALLBROOK UNION ELEMENTARY,FALLBROOK UNION ELEMENTARY,
MAIN STREET UMOJA BLENDED COMM SCHOOL,,,,SAN DIEGO COUNTY OFFICE OF EDUCATION,
MAJOR GENERAL RAYMOND MURRAY HIGH,,,VISTA UNIFIED,VISTA UNIFIED,
MANN MIDDLE,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
MAR VISTA ACADEMY,,,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,
MAR VISTA ACADEMY FOR PROBLEM BASED LEARNING,,,SWEETWATER UNION HIGH,,
MAR VISTA SENIOR HIGH,,,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,
MARCY ST ANNEX,,,,SAN DIEGO UNIFIED,
MARSHALL (THURGOOD) ELEMENTARY,,,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,
MARSHALL ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
MARSHALL MIDDLE,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
MARSTON MIDDLE,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
MARTIN LUTHER KING JR. MIDDLE,,,OCEANSIDE UNIFIED,OCEANSIDE UNIFIED,
MARVIN ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
MARY FAY PENDLETON ELEMENTARY,,,FALLBROOK UNION ELEMENTARY,FALLBROOK UNION ELEMENTARY,
MARYLAND AVENUE ELEMENTARY,,,LA MESA-SPRING VALLEY,LA MESA-SPRING VALLEY,
MARYLAND ELEMENTARY,,,VISTA UNIFIED,VISTA UNIFIED,
MASON ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
MATAGUAY SCOUT RESV,,,,SAN DIEGO IMPERIAL COUNCIL BSA,
MCGILL SCHOOL OF SUCCESS,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
MCKINLEY ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
MCMILLIN (CORKY) ELEMENTARY,,,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,
MEADOWBROOK MIDDLE,,,POWAY UNIFIED,POWAY UNIFIED,
MEMORIAL SCHOLARS & ATHLETES,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
MERIDIAN ELEMENTARY,,,CAJON VALLEY UNION,CAJON VALLEY UNION,
MERIT ACADEMY,,,GROSSMONT UNION HIGH,GROSSMONT UNION HIGH,
MESA VERDE MIDDLE,,,POWAY UNIFIED,POWAY UNIFIED,
METRO COMMUNITY SCHOOLS,,,,SAN DIEGO COUNTY OFFICE OF EDUCATION,
METRO TECH ACADEMY BLENDED COMMUNITY SCHOOL,,,,SAN DIEGO COUNTY OFFICE OF EDUCATION,
MID CITY 1 AND 2-ANNEX,,,,SAN DIEGO UNIFIED,
MIDLAND ELEMENTARY,,,POWAY UNIFIED,POWAY UNIFIED,
MIKE CHOATE EARLY CHILDHOOD EDUCATION CENTER,,,,FALLBROOK UNION ELEMENTARY,
MILLENNIAL TECH MIDDLE,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
MILLER ELEMENTARY,,,ESCONDIDO UNION,ESCONDIDO UNION,
MILLER ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
MIRA MESA COMMUNITY SCHOOL,,,,SAN DIEGO COUNTY OFFICE OF EDUCATION,
MIRA MESA HIGH,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
MIRAMAR RANCH ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
MISSION BAY HIGH,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
MISSION ELEMENTARY,,,OCEANSIDE UNIFIED,OCEANSIDE UNIFIED,
MISSION ESTANCIA ELEMENTARY,,,ENCINITAS UNION ELEMENTARY,ENCINITAS UNION ELEMENTARY,
MISSION HILLS HIGH,,,SAN MARCOS UNIFIED,SAN MARCOS UNIFIED,
MISSION MEADOWS ELEMENTARY,,,VISTA UNIFIED,VISTA UNIFIED,
MISSION MIDDLE,,,ESCONDIDO UNION,ESCONDIDO UNION,
MISSION VALLEY LC - AUDEO-ANNEX,,,,SAN DIEGO UNIFIED,
MISSION VISTA HIGH,,,VISTA UNIFIED,VISTA UNIFIED,
MONARCH,MONARCH ELEMENTARY COMMUNITY DAY,,SAN DIEGO COUNTY OFFICE OF EDUCATION,SAN DIEGO UNIFIED,
MONTE VISTA ELEMENTARY,,,VISTA UNIFIED,VISTA UNIFIED,
MONTE VISTA HIGH,,,GROSSMONT UNION HIGH,GROSSMONT UNION HIGH,
MONTECITO HIGH (CONTINUATION),,,RAMONA CITY UNIFIED,RAMONA CITY UNIFIED,
MONTEREY HEIGHTS ELEMENTARY,,,LEMON GROVE,LEMON GROVE,
MONTEREY RIDGE ELEMENTARY,,,POWAY UNIFIED,POWAY UNIFIED,
MONTEZUMA CDC,,,,SAN DIEGO UNIFIED,
MONTGOMERY (JOHN J.) ELEMENTARY,,,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,
MONTGOMERY MIDDLE,,,CAJON VALLEY UNION,CAJON VALLEY UNION,
MONTGOMERY MIDDLE,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
MONTGOMERY MIDDLE,,,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,
MORNING CREEK ELEMENTARY,,,POWAY UNIFIED,POWAY UNIFIED,
MORSE HIGH,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
MOUNT MIGUEL HIGH,,,GROSSMONT UNION HIGH,GROSSMONT UNION HIGH,
MOUNTAIN EMPIRE HIGH,,,MOUNTAIN EMPIRE UNIFIED,MOUNTAIN EMPIRE UNIFIED,
MOUNTAIN REGION COURT (JUVENILE RANCH FACILITY),,,,SAN DIEGO CO PROBATION DEPT,
MT. CARMEL HIGH,,,POWAY UNIFIED,POWAY UNIFIED,
MT. EVEREST ACADEMY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
MT. VERNON ELEMENTARY,MT. VERNON,,LEMON GROVE,LEMON GROVE,
MT. WOODSON ELEMENTARY,,,RAMONA CITY UNIFIED,RAMONA CITY UNIFIED,
MUELLER CHARTER (ROBERT L.),,,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,
MUIRLANDS MIDDLE,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
MURDOCK ELEMENTARY,,,LA MESA-SPRING VALLEY,LA MESA-SPRING VALLEY,
MURRAY MANOR ELEMENTARY,,,LA MESA-SPRING VALLEY,LA MESA-SPRING VALLEY,
MUSEUM,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
NARANCA ELEMENTARY,,,CAJON VALLEY UNION,CAJON VALLEY UNION,
NATIONAL CITY MIDDLE,,,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,
NATIVITY PREP ACADEMY,,,,"NATIVITY PREP ACADEMY, INC.",
NESTOR LANGUAGE ACADEMY CHARTER,,,SOUTH BAY UNION,SOUTH BAY UNION,
"NEW ALTERNATIVE, INC.",,,,NEW ALTERNATIVES,
NEW ALTERNATIVES #17,,,,NEW ALTERNATIVES,
NEW ALTERNATIVES INC. #18,,,,NEW ALTERNATIVES,
"NEW ALTERNATIVES, #15",,,,NEW ALTERNATIVES,
"NEW ALTERNATIVES, INC #5",,,,NEW ALTERNATIVES,
"NEW ALTERNATIVES, INC. #16",,,,NEW ALTERNATIVES,
NEW HAVEN SCHOOL,,,,NEW HAVEN YOUTH AND FAMILY SERVICES,
NEW HAVEN YOUTH AND FAMILY SERVICES,,,,NEW HAVEN YOUTH AND FAMILY SERVICES,
NEW HAVEN-CONNIE GAYLE,,,,NEW HAVEN YOUTH AND FAMILY SERVICES,
NEW HAVEN-DEBRA LANE,,,,NEW HAVEN YOUTH AND FAMILY SERVICES,
NEW HAVEN-DURIAN HOUSE,,,,NEW HAVEN YOUTH AND FAMILY SERVICES,
NEW HAVEN-LUPE HOUSE,,,,NEW HAVEN YOUTH AND FAMILY SERVICES,
NEW HAVEN-MEADOWLAKE,,,,NEW HAVEN YOUTH AND FAMILY SERVICES,
NEW HAVEN-PINA LANE,,,,NEW HAVEN YOUTH AND FAMILY SERVICES,
NEW HAVEN-TEEN HOUSE,,,,NEW HAVEN YOUTH AND FAMILY SERVICES,
NEW HAVEN-THOMSON HOUSE,,,,NEW HAVEN YOUTH AND FAMILY SERVICES,
NICHOLS ELEMENTARY,,,OCEANSIDE UNIFIED,OCEANSIDE UNIFIED,
NICOLAYSEN COMMUNITY DAY,,,ESCONDIDO UNION,ESCONDIDO UNION,
"NONPUBLIC, NONSECTARIAN SCHOOLS",,,SAN DIEGO UNIFIED,,
"NONPUBLIC, NONSECTARIAN SCHOOLS",,,SAN DIEGUITO UNION HIGH,,
"NONPUBLIC, NONSECTARIAN SCHOOLS",,,SAN MARCOS UNIFIED,,
"NONPUBLIC, NONSECTARIAN SCHOOLS",,,SAN YSIDRO ELEMENTARY,,
"NONPUBLIC, NONSECTARIAN SCHOOLS",,,SANTEE,,
"NONPUBLIC, NONSECTARIAN SCHOOLS",,,SOUTH BAY UNION,,
"NONPUBLIC, NONSECTARIAN SCHOOLS",,,SWEETWATER UNION HIGH,,
"NONPUBLIC, NONSECTARIAN SCHOOLS",,,VALLEY CENTER-PAUMA UNIFIED,,
"NONPUBLIC, NONSECTARIAN SCHOOLS",,,VISTA UNIFIED,,
NORMAL HEIGHTS ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
NORMAN L. SULLIVAN MIDDLE,,,BONSALL UNIFIED,BONSALL UNIFIED,
NORMAN L. SULLIVAN MIDDLE,,,BONSALL UNIFIED,BONSALL UNION ELEMENTARY,
NORTH BROADWAY ELEMENTARY,,,ESCONDIDO UNION,ESCONDIDO UNION,
NORTH COAST ALTERNATIVE HIGH,,,SAN DIEGUITO UNION HIGH,,
NORTH COUNTY TRADE TECH HIGH,NORTH COUNTY TRADE TECH HIGH,,VISTA UNIFIED,NORTH COUNTY TRADE TECH HIGH SCHOOL,
NORTH PARK 1 2 AND 3-ANNEX,,,,SAN DIEGO UNIFIED,
NORTH TERRACE ELEMENTARY,,,OCEANSIDE UNIFIED,OCEANSIDE UNIFIED,
NORTHGATE-ANNEX,,,,SAN DIEGO UNIFIED,
NORTHMONT ELEMENTARY,,,LA MESA-SPRING VALLEY,LA MESA-SPRING VALLEY,
NYE ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
OAK CREST MIDDLE,,,SAN DIEGUITO UNION HIGH,SAN DIEGUITO UNION HIGH,
OAK GLEN HIGH,,,VALLEY CENTER-PAUMA UNIFIED,VALLEY CENTER-PAUMA UNIFIED,
OAK GROVE MIDDLE,,,JAMUL-DULZURA UNION ELEMENTARY,JAMUL-DULZURA UNION ELEMENTARY,
OAK HILL ELEMENTARY,,,ESCONDIDO UNION,ESCONDIDO UNION,
OAK PARK ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
OAK VALLEY MIDDLE,,,POWAY UNIFIED,POWAY UNIFIED,
OAKHILL PRESCHOOL,,,,ESCONDIDO UNION,
OASIS HIGH (ALTERNATIVE),,,FALLBROOK UNION HIGH,FALLBROOK UNION HIGH,
OCEAN AIR,,,DEL MAR UNION ELEMENTARY,DEL MAR UNION ELEMENTARY,
OCEAN BEACH ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
OCEAN KNOLL ELEMENTARY,,,ENCINITAS UNION ELEMENTARY,ENCINITAS UNION ELEMENTARY,
OCEAN SHORES HIGH (CONTINUATION),,,OCEANSIDE UNIFIED,OCEANSIDE UNIFIED,
OCEAN VIEW HILLS,,,SAN YSIDRO ELEMENTARY,SAN YSIDRO ELEMENTARY,
OCEANSIDE HIGH,,,OCEANSIDE UNIFIED,OCEANSIDE UNIFIED,
OLD TOWN ACADEMY K-8 CHARTER,,,SAN DIEGO UNIFIED,,
OLIVE ELEMENTARY,,,VISTA UNIFIED,VISTA UNIFIED,
OLIVE PEIRCE MIDDLE,,,RAMONA CITY UNIFIED,RAMONA CITY UNIFIED,
OLIVENHAIN PIONEER ELEMENTARY,,,ENCINITAS UNION ELEMENTARY,ENCINITAS UNION ELEMENTARY,
OLIVEWOOD,,,NATIONAL ELEMENTARY,NATIONAL ELEMENTARY,
OLYMPIAN HIGH,,,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,
OLYMPIC VIEW ELEMENTARY,,,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,
ONEONTA ELEMENTARY,,,SOUTH BAY UNION,SOUTH BAY UNION,
OPTIONS SECONDARY,,,SWEETWATER UNION HIGH,,
ORANGE GLEN ELEMENTARY,,,ESCONDIDO UNION,ESCONDIDO UNION,
ORANGE GLEN HIGH,,,ESCONDIDO UNION HIGH,ESCONDIDO UNION HIGH,
OTAY ELEMENTARY,,,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,
OTAY RANCH SENIOR HIGH,,,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,
OUR LADY OF THE SACRED HEART,,,,OUR LADY SACRED HEART SCHOOL,
PACIFIC AMERICAN ACADEMY,,,,SAN DIEGO UNIFIED,
PACIFIC BEACH ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
PACIFIC BEACH LC - AUDEO-ANNEX,,,,SAN DIEGO UNIFIED,
PACIFIC BEACH MIDDLE,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
PACIFIC RIM ELEMENTARY,,,CARLSBAD UNIFIED,CARLSBAD UNIFIED,
PACIFIC TRAILS MIDDLE,,,SAN DIEGUITO UNION HIGH,SAN DIEGUITO UNION HIGH,
PACIFIC VIEW LEADERSHIP ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
PAINTED ROCK ELEMENTARY,,,POWAY UNIFIED,POWAY UNIFIED,
PALMER WAY,,,NATIONAL ELEMENTARY,NATIONAL ELEMENTARY,
PALMQUIST ELEMENTARY,,,OCEANSIDE UNIFIED,OCEANSIDE UNIFIED,
PALOMA ELEMENTARY,,,SAN MARCOS UNIFIED,SAN MARCOS UNIFIED,
PALOMAR ELEMENTARY,,,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,
PALOMAR HIGH,,,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,
PARADISE HILLS ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
PARADISE VALLEY CHARTER SCHOOL-ANNEX,,,,SAN DIEGO UNIFIED,
PARK DALE LANE ELEMENTARY,,,ENCINITAS UNION ELEMENTARY,ENCINITAS UNION ELEMENTARY,
PARK IN THE PARK,,,,SAN DIEGO UNIFIED,
PARK TERRACE-ANNEX,,,,SAN DIEGO UNIFIED,
PARK VILLAGE ELEMENTARY,,,POWAY UNIFIED,POWAY UNIFIED,
PARKVIEW ELEMENTARY,,,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,
PARKWAY MIDDLE,,,LA MESA-SPRING VALLEY,LA MESA-SPRING VALLEY,
PAUL ECKE-CENTRAL ELEMENTARY,,,ENCINITAS UNION ELEMENTARY,ENCINITAS UNION ELEMENTARY,
PAUMA ELEMENTARY,,,VALLEY CENTER-PAUMA UNIFIED,VALLEY CENTER-PAUMA UNIFIED,
PENN ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
PEPPER DRIVE ELEMENTARY,,,SANTEE,SANTEE,
PERKINS K-8,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
PERRY ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
PERSHING MIDDLE,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
PHOENIX HOUSE SAN DIEGO INC.,,,,PHOENIX HOUSE SAN DIEGO INC,
PINE VALLEY MIDDLE,,,MOUNTAIN EMPIRE UNIFIED,MOUNTAIN EMPIRE UNIFIED,
PIONEER ELEMENTARY,,,ESCONDIDO UNION,ESCONDIDO UNION,
PIONEER PRESCHOOL,,,,ESCONDIDO UNION,
POINSETTIA ELEMENTARY,,,CARLSBAD UNIFIED,CARLSBAD UNIFIED,
POINT LOMA HIGH,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
POMERADO ELEMENTARY,,,POWAY UNIFIED,POWAY UNIFIED,
PORTER ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
PORTER ELEMENTARY (NORTH CAMPUS) -ANNEX,,,,SAN DIEGO UNIFIED,
POTRERO ELEMENTARY,,,MOUNTAIN EMPIRE UNIFIED,MOUNTAIN EMPIRE UNIFIED,
POWAY HIGH,,,POWAY UNIFIED,POWAY UNIFIED,
PREUSS SCHOOL UCSD,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
PRIDE ACADEMY AT PROSPECT AVENUE,,,SANTEE,SANTEE,
PROJECT SELF SUFFICIENCY TREATMENT,,,,PROJECT SELF SUFFICIENCY TREATMENT,
QUANTUM ACADEMY,,,ESCONDIDO UNION,ESCONDIDO UNION,
RAI ONLINE CHARTER,,,VALLECITOS ELEMENTARY,,
RAMONA COMMUNITY,RAMONA COMMUNITY MONTESSORI,,RAMONA CITY UNIFIED,RAMONA CITY UNIFIED,
RAMONA ELEMENTARY,,,RAMONA CITY UNIFIED,RAMONA CITY UNIFIED,
RAMONA HIGH,,,RAMONA CITY UNIFIED,RAMONA CITY UNIFIED,
RANCHO BERNARDO HIGH,,,POWAY UNIFIED,POWAY UNIFIED,
RANCHO BUENA VISTA HIGH,,,VISTA UNIFIED,VISTA UNIFIED,
RANCHO DE LA NACION,,,NATIONAL ELEMENTARY,NATIONAL ELEMENTARY,
RANCHO DEL REY MIDDLE,,,SWEETWATER UNION HIGH,SWEETWATER UNION HIGH,
RANCHO ELEMENTARY,,,LA MESA-SPRING VALLEY,LA MESA-SPRING VALLEY,
RANCHO MINERVA MIDDLE,,,VISTA UNIFIED,VISTA UNIFIED,
RANCHO SAN DIEGO ELEMENTARY,,,CAJON VALLEY UNION,CAJON VALLEY UNION,
REACH ACADEMY,,,GROSSMONT UNION HIGH,GROSSMONT UNION HIGH,
REFLECTIONS CENTRAL SCHOOL,,,,SAN DIEGO COUNTY OFFICE OF EDUCATION,
REIDY CREEK ELEMENTARY,,,ESCONDIDO UNION,ESCONDIDO UNION,
REYNOLDS ELEMENTARY,,,OCEANSIDE UNIFIED,OCEANSIDE UNIFIED,
RICE (LILIAN J.) ELEMENTARY,,,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,
RICHLAND ELEMENTARY,,,SAN MARCOS UNIFIED,SAN MARCOS UNIFIED,
RILEY/NEW DAWN,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
RINCON MIDDLE,,,ESCONDIDO UNION,ESCONDIDO UNION,
RIO SECO ELEMENTARY,,,SANTEE,SANTEE,
RIOS ELEMENTARY,,,CAJON VALLEY UNION,CAJON VALLEY UNION,
RIVERVIEW ELEMENTARY,,,LAKESIDE UNION ELEMENTARY,LAKESIDE UNION ELEMENTARY,
ROCK SPRINGS ELEMENTARY,,,ESCONDIDO UNION,ESCONDIDO UNION,
RODRIGUEZ ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
ROGERS (GREG) ELEMENTARY,,,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,
ROHR (FRED H.) ELEMENTARY,,,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,
ROLANDO ELEMENTARY,,,LA MESA-SPRING VALLEY,LA MESA-SPRING VALLEY,
ROLANDO PARK ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
ROLLING HILLS ELEMENTARY,,,POWAY UNIFIED,POWAY UNIFIED,
ROOSEVELT INTERNATIONAL MIDDLE,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
ROOSEVELT MIDDLE,,,VISTA UNIFIED,VISTA UNIFIED,
ROSA PARKS ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
ROSE ELEMENTARY,,,ESCONDIDO UNION,ESCONDIDO UNION,
ROSE PRESCHOOL,,,,ESCONDIDO UNION,
ROSEBANK ELEMENTARY,,,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,
ROSS ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
ROWAN CDC,,,,SAN DIEGO UNIFIED,
ROWAN ELEMENTARY,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
S.D.C.F.C.-SAN DIEGO CENTER FOR CHILDREN,,,,SAN DIEGO CENTER FOR CHILDREN,
SABURO MURAOKA,MURAOKA (SABURO) ELEMENTARY,,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,
SAGE CANYON,,,DEL MAR UNION ELEMENTARY,DEL MAR UNION ELEMENTARY,
SAGE CREEK HIGH,,,CARLSBAD UNIFIED,CARLSBAD UNIFIED,
SALT CREEK ELEMENTARY,,,CHULA VISTA ELEMENTARY,CHULA VISTA ELEMENTARY,
SAM AND ROSE STEIN EDUCATION CENTER,,,,SAN DIEGO UNIFIED,
SAM AND ROSE STEIN EDUCATION CENTER-DECENA SITE,,,,SAN DIEGO UNIFIED,
SAN ALTOS ELEMENTARY,,,LEMON GROVE,LEMON GROVE,
SAN DIEGO BUSINESS/LEADERSHIP,,,SAN DIEGO UNIFIED,SAN DIEGO UNIFIED,
SAN DIEGO CENTER FOR CHILDREN,,,,SAN DIEGO CENTER FOR CHILDREN,
