CountyDesc,FnsReportTypeDesc,FnsReportDate,ProgramCode,ProgramGroupYear,Name,SponsorTypeCode,MealGroupCode,MealTypeCode,SiteQty,DaysServedQty,MlsServedFree,MlsServedRedc,MlsServedPaid,MlsServedTotal,MlsServedFinal,AvgDailyMeals,AvgDailyParticipationQty
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,Escondido Union High School District,PUBPRIVSCHOOL,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,9,13,16257,0,0,16257,16257,1250.5385,1231
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,"University of California, San Diego",CAMP,SFSP_BREAKFAST,SFSP_BREAKFAST_VENDED,3,16,942,0,0,942,942,58.875,59
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,"University of California, San Diego",CAMP,SFSP_LUNCH,SFSP_LUNCH_VENDED,3,14,1009,0,0,1009,1009,72.0714,73
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,"University of California, San Diego",CAMP,SFSP_SUPPER,SFSP_SUPPER_VENDED,3,13,721,0,0,721,721,55.4615,56
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,Boys & Girls Club of Greater San Diego,PRIVATENONPROFIT,SFSP_LUNCH,SFSP_LUNCH_VENDED,7,22,11939,0,0,11939,11939,542.6818,535
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,Boys & Girls Club of Greater San Diego,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,1,5,795,0,0,795,795,159,159
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,Boys & Girls Club of Greater San Diego,PRIVATENONPROFIT,SFSP_SNACK_PM,SFSP_SNACK_PM_SELFPREP,8,22,1809,0,0,1809,1809,82.2273,798
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,Boys & Girls Club of Greater San Diego,PRIVATENONPROFIT,SFSP_SNACK_PM,SFSP_SNACK_PM_VENDED,8,22,15862,0,0,15862,15862,721,798
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,"Vista, City of",GOVERMENT,SFSP_BREAKFAST,SFSP_BREAKFAST_SELFPREP,1,23,1628,0,0,1628,1628,70.7826,70
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,"Vista, City of",GOVERMENT,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,1,23,2070,0,0,2070,2070,90,89
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,CSU San Diego (BEST),CAMP,SFSP_BREAKFAST,SFSP_BREAKFAST_VENDED,1,26,619,0,0,619,619,23.8077,24
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,CSU San Diego (BEST),CAMP,SFSP_LUNCH,SFSP_LUNCH_VENDED,1,26,1569,0,0,1569,1569,60.3462,61
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,CSU San Diego (BEST),CAMP,SFSP_SUPPER,SFSP_SUPPER_VENDED,1,27,930,0,0,930,930,34.4444,35
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,University of San Diego Trio Upward Bound,PRIVATENONPROFIT,SFSP_BREAKFAST,SFSP_BREAKFAST_VENDED,1,23,820,0,0,820,820,35.6522,36
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,University of San Diego Trio Upward Bound,PRIVATENONPROFIT,SFSP_LUNCH,SFSP_LUNCH_VENDED,1,24,852,0,0,852,852,35.5,36
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,University of San Diego Trio Upward Bound,PRIVATENONPROFIT,SFSP_SUPPER,SFSP_SUPPER_VENDED,1,18,669,0,0,669,669,37.1667,38
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,Salvation Army-San Diego A California Corporation,CAMP,SFSP_BREAKFAST,SFSP_BREAKFAST_SELFPREP,1,23,1906,0,0,1906,1906,82.8696,83
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,Salvation Army-San Diego A California Corporation,CAMP,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,2,23,10348,0,0,10348,10348,449.913,450
SAN DIEGO,Summer Food Service Program (FNS418),Jul 2015,SFSP,2015,Salvation Army-San Diego A California Corporation,CAMP,SFSP_SUPPER,SFSP_SUPPER_SELFPREP,1,23,1914,0,0,1914,1914,83.2174,84
SAN DIEGO,Summer Food Service Program (FNS418),Sep 2015,SFSP,2015,Boys & Girls Club of Greater San Diego,PRIVATENONPROFIT,SFSP_LUNCH,SFSP_LUNCH_VENDED,4,4,1074,0,0,1074,1074,268.5,268
SAN DIEGO,Summer Food Service Program (FNS418),Sep 2015,SFSP,2015,Salvation Army-San Diego A California Corporation,CAMP,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,1,4,613,0,0,613,613,153.25,154
SAN DIEGO,Summer Food Service Program (FNS418),Aug 2015,SFSP,2015,CSU San Diego (BEST),CAMP,SFSP_BREAKFAST,SFSP_BREAKFAST_VENDED,1,7,109,0,0,109,109,15.5714,16
SAN DIEGO,Summer Food Service Program (FNS418),Aug 2015,SFSP,2015,CSU San Diego (BEST),CAMP,SFSP_LUNCH,SFSP_LUNCH_VENDED,1,7,404,0,0,404,404,57.7143,58
SAN DIEGO,Summer Food Service Program (FNS418),Aug 2015,SFSP,2015,CSU San Diego (BEST),CAMP,SFSP_SUPPER,SFSP_SUPPER_VENDED,1,6,138,0,0,138,138,23,23
SAN DIEGO,Summer Food Service Program (FNS418),Aug 2015,SFSP,2015,Boys & Girls Club of Greater San Diego,PRIVATENONPROFIT,SFSP_LUNCH,SFSP_LUNCH_VENDED,6,21,8246,0,0,8246,8246,392.6667,391
SAN DIEGO,Summer Food Service Program (FNS418),Aug 2015,SFSP,2015,Boys & Girls Club of Greater San Diego,PRIVATENONPROFIT,SFSP_CCNSP,SFSP_SNACK_CCNSP_SELFPREP,7,21,9898,0,0,9898,9898,471.3333,472
