"county","fnsreportdate","fnssubtype","programcode","programgroupyear","sponsorname","sponsortype","mealgroupcode","mealtypecode","siteqty","daysservedqty","mlsservedfree","mlsservedredc","mlsservedpaid","mlsservedtotal","mlsservedfinal","avgdailymeals","avgdailypartic","academicyear"
"SAN DIEGO",2016-08-01,"Summer Food Service Program (FNS418)","SFSP",2016,"CSU SAN DIEGO (BEST)","CAMP","SFSP_LUNCH","SFSP_LUNCH_VENDED",1,9,525,0,0,525,525,58.3333,59,"2016-2017"
"SAN DIEGO",2016-08-01,"Summer Food Service Program (FNS418)","SFSP",2016,"CSU SAN DIEGO (BEST)","CAMP","SFSP_SUPPER","SFSP_SUPPER_VENDED",1,8,211,0,0,211,211,26.375,27,"2016-2017"
"SAN DIEGO",2016-08-01,"Summer Food Service Program (FNS418)","SFSP",2016,"VISTA, CITY OF","GOVERMENT","SFSP_BREAKFAST","SFSP_BREAKFAST_SELFPREP",1,10,669,0,0,669,669,66.9,66,"2016-2017"
"SAN DIEGO",2016-08-01,"Summer Food Service Program (FNS418)","SFSP",2016,"VISTA, CITY OF","GOVERMENT","SFSP_LUNCH","SFSP_LUNCH_SELFPREP",1,10,1017,0,0,1017,1017,101.7,100,"2016-2017"
"SAN DIEGO",2016-08-01,"Summer Food Service Program (FNS418)","SFSP",2016,"BOYS & GIRLS CLUB OF GREATER SAN DIEGO","PRIVATENONPROFIT","SFSP_LUNCH","SFSP_LUNCH_SELFPREP",9,20,351,0,0,351,351,17.55,407,"2016-2017"
"SAN DIEGO",2016-08-01,"Summer Food Service Program (FNS418)","SFSP",2016,"BOYS & GIRLS CLUB OF GREATER SAN DIEGO","PRIVATENONPROFIT","SFSP_LUNCH","SFSP_LUNCH_VENDED",9,20,7803,0,0,7803,7803,390.15,407,"2016-2017"
"SAN DIEGO",2016-08-01,"Summer Food Service Program (FNS418)","SFSP",2016,"BOYS & GIRLS CLUB OF GREATER SAN DIEGO","PRIVATENONPROFIT","SFSP_SNACK_PM","SFSP_SNACK_PM_SELFPREP",9,20,1243,0,0,1243,1243,62.15,517,"2016-2017"
"SAN DIEGO",2016-08-01,"Summer Food Service Program (FNS418)","SFSP",2016,"BOYS & GIRLS CLUB OF GREATER SAN DIEGO","PRIVATENONPROFIT","SFSP_SNACK_PM","SFSP_SNACK_PM_VENDED",9,20,9100,0,0,9100,9100,455,517,"2016-2017"
"SAN DIEGO",2016-08-01,"Summer Food Service Program (FNS418)","SFSP",2016,"UNIVERSITY OF SAN DIEGO TRIO UPWARD BOUND","PRIVATENONPROFIT","SFSP_BREAKFAST","SFSP_BREAKFAST_VENDED",1,6,169,0,0,169,169,28.1667,29,"2016-2017"
"SAN DIEGO",2016-08-01,"Summer Food Service Program (FNS418)","SFSP",2016,"UNIVERSITY OF SAN DIEGO TRIO UPWARD BOUND","PRIVATENONPROFIT","SFSP_LUNCH","SFSP_LUNCH_VENDED",1,2,70,0,0,70,70,35,35,"2016-2017"
