site_id,sitename,district,is_school,school_code,district_code
1151,SOUTHLAND BLENDED COMM SCHOOL,,1,,
1152,SOUTHWEST MIDDLE,SWEETWATER UNION HIGH,1,6062012,68411
1153,SOUTHWEST SENIOR HIGH,SWEETWATER UNION HIGH,1,3730124,68411
1154,SPECIAL EDUCATION PRESCHOOL,CHULA VISTA ELEMENTARY,1,,
1155,SPECIAL EDUCATION TRANSITION CLASS,,0,,
1156,SPENCER VALLEY ELEMENTARY,SPENCER VALLEY ELEMENTARY,1,6040554,68403
1157,SPORTS PARK OF IMPERIAL BEACH,,0,,
1158,SPORTS PARK RECREATION CENTER,,0,,
1159,SPORTS SCIENCE ACADEMY,,1,,
1160,SPRECKELS ELEMENTARY,SAN DIEGO UNIFIED,1,6040174,68338
1161,SPRING VALLEY ACADEMY,LA MESA-SPRING VALLEY,1,134155,68197
1162,SPRING VALLEY COMMUNITY CENTER,,0,,
1163,SPRING VALLEY LIBRARY,,0,,
1164,SPRING VALLEY MIDDLE,LA MESA-SPRING VALLEY,1,6038590,68197
1165,SPRING VALLEY REC CLUB,,0,,
1166,SPRINGALL ACADEMY,,1,,
1167,ST. DIDACUS  SCHOOL,,1,,
1168,ST. DIDACUS PARISH SCHOOL,,1,,
1169,ST. JOHN OF THE CROSS,,1,,
1170,ST. MARTIN OF TOURS ACADEMY,,1,,
1171,ST. MICHAEL'S SCHOOL,,1,,
1172,ST. PATRICK CATHOLIC SCHOOL,,1,,
1173,ST. PATRICK'S ELEMENTARY,,1,,
1174,ST. RITA'S SCHOOL,,1,,
1175,STANDLEY MIDDLE,SAN DIEGO UNIFIED,1,6096598,68338
1176,STEELE CANYON ADULT CENTER,GROSSMONT UNION HIGH,1,,
1177,STEELE CANYON HIGH,GROSSMONT UNION HIGH,1,3731262,68130
1178,STEP PROGRAM,,,,
1179,STEPHEN W. HAWKING CHARTER,SWEETWATER UNION HIGH,1,126086,68411
1180,"STEPHEN W. HAWKING II SCIENCE, TECHNOLOGY, ENGINEERING, ART AND MATH CHARTER",SWEETWATER UNION HIGH,1,128082,68411
1181,STEPS,,0,,
1182,STOCKTON REC CENTER,,0,,
1183,STONE RANCH ELEMENTARY,POWAY UNIFIED,1,102822,68296
1184,STUART MESA ELEMENTARY,OCEANSIDE UNIFIED,1,6115299,73569
1185,SULPIZIO FAMILY BRANCH,,0,,
1186,SUMMIT NORTH,,0,,
1187,SUNDANCE ELEMENTARY,POWAY UNIFIED,1,6099444,68296
1188,SUNNYSIDE ELEMENTARY,CHULA VISTA ELEMENTARY,1,6038012,68023
1189,SUNNYSLOPE ELEMENTARY,SOUTH BAY UNION,1,6040539,68395
1190,SUNSET ELEMENTARY,SAN YSIDRO ELEMENTARY,1,6093264,68379
1191,SUNSET HIGH (CONTINUATION),SAN DIEGUITO UNION HIGH,1,3737384,68346
1192,SUNSET HILLS ELEMENTARY,POWAY UNIFIED,1,6093231,68296
1193,SUNSET VIEW ELEMENTARY,SAN DIEGO UNIFIED,1,6040208,68338
1194,SWEETWATER COMMUNITY DAY,SWEETWATER UNION HIGH,1,6117154,68411
1195,SWEETWATER HIGH,SWEETWATER UNION HIGH,1,3738226,68411
1196,SWEETWATER SECONDARY,SBE - SWEETWATER SECONDARY,1,136473,77107
1197,SWEETWATER SPRINGS ELEMENTARY,LA MESA-SPRING VALLEY,1,6111207,68197
1198,SYCAMORE CANYON ELEMENTARY,SANTEE,1,6040406,68361
1199,SYCAMORE RIDGE,DEL MAR UNION ELEMENTARY,1,110114,68056
1200,SYHC-WIC CHULA VISTA,,0,,
1201,T.H.E LEADERSHIP ACADEMY,VISTA UNIFIED,1,100925,68452
