siteid,ClaimDate,ProgramGroupYear,SiteName,Name,sponsor_id,MealGroupCode,MealTypeCode,DaysServedQty,MlsServedFree
4405,2018-07-01,2018,JACUMBA BRANCH LIBRARY,FEEDING AMERICA SAN DIEGO,180,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,21,208
4405,2018-07-01,2018,JACUMBA BRANCH LIBRARY,FEEDING AMERICA SAN DIEGO,180,SFSP_SNACK_PM,SFSP_SNACK_PM_SELFPREP,21,143
4409,2018-07-01,2018,JULIAN BRANCH LIBRARY,FEEDING AMERICA SAN DIEGO,180,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,21,346
4413,2018-07-01,2018,JULIAN ELEMENTARY,FEEDING AMERICA SAN DIEGO,180,SFSP_BREAKFAST,SFSP_BREAKFAST_SELFPREP,8,119
4421,2018-07-01,2018,LINCOLN ACRES BRANCH LIBRARY,FEEDING AMERICA SAN DIEGO,180,SFSP_LUNCH,SFSP_LUNCH_VENDED,21,224
4425,2018-07-01,2018,MESA GRANDE INDIAN HOUSING AUTHORITY,FEEDING AMERICA SAN DIEGO,180,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,21,196
4433,2018-07-01,2018,MISSION COVE APARTMENTS,FEEDING AMERICA SAN DIEGO,180,SFSP_LUNCH,SFSP_LUNCH_VENDED,21,294
4441,2018-07-01,2018,NORTH COUNTY HEALTH SERVICES SAN MARCOS,FEEDING AMERICA SAN DIEGO,180,SFSP_LUNCH,SFSP_LUNCH_VENDED,21,288
4445,2018-07-01,2018,OCEAN DISCOVERY HOOVER HIGH,FEEDING AMERICA SAN DIEGO,180,SFSP_LUNCH,SFSP_LUNCH_VENDED,21,75
4445,2018-07-01,2018,OCEAN DISCOVERY HOOVER HIGH,FEEDING AMERICA SAN DIEGO,180,SFSP_SNACK_AM,SFSP_SNACK_AM_VENDED,4,75
4453,2018-07-01,2018,PALOMAR FAMILY YMCA,FEEDING AMERICA SAN DIEGO,180,SFSP_BREAKFAST,SFSP_BREAKFAST_VENDED,8,360
4453,2018-07-01,2018,PALOMAR FAMILY YMCA,FEEDING AMERICA SAN DIEGO,180,SFSP_LUNCH,SFSP_LUNCH_VENDED,21,709
4457,2018-07-01,2018,RAMONA BRANCH LIBRARY,FEEDING AMERICA SAN DIEGO,180,SFSP_LUNCH,SFSP_LUNCH_VENDED,21,754
4481,2018-07-01,2018,VALLEY CENTER BRANCH LIBRARY,FEEDING AMERICA SAN DIEGO,180,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,21,670
4485,2018-07-01,2018,VCC PROJECT REACH LIBBY LAKE,FEEDING AMERICA SAN DIEGO,180,SFSP_LUNCH,SFSP_LUNCH_VENDED,21,380
4493,2018-07-01,2018,VISTA BRANCH LIBRARY,FEEDING AMERICA SAN DIEGO,180,SFSP_LUNCH,SFSP_LUNCH_VENDED,21,2525
4553,2018-07-01,2018,ATMOSPHERE APARTMENTS,HEAVEN'S WINDOWS,204,SFSP_LUNCH,SFSP_LUNCH_VENDED,21,18
4557,2018-07-01,2018,BORDER VIEW YMCA,HEAVEN'S WINDOWS,204,SFSP_LUNCH,SFSP_LUNCH_VENDED,21,239
4565,2018-07-01,2018,CAMPO EDUCATIONAL CENTER,HEAVEN'S WINDOWS,204,SFSP_LUNCH,SFSP_LUNCH_SELFPREP,21,506
4565,2018-07-01,2018,CAMPO EDUCATIONAL CENTER,HEAVEN'S WINDOWS,204,SFSP_SNACK_PM,SFSP_SNACK_PM_SELFPREP,21,506
4573,2018-07-01,2018,CASA DE ORO LIBRARY,HEAVEN'S WINDOWS,204,SFSP_LUNCH,SFSP_LUNCH_VENDED,21,314
